Location,Time,Lighting,Traffic_Density,Crime_Rate,Police_Presence,Public_Transport_Availability,CCTV_Presence,Population_Density,Safe_Road
Main Road,22:39,Moderately-lit,0.19,0.3,1,1,1,0.18,1
Park,05:35,Poorly-lit,0.96,0.62,1,0,0,0.15,0
Industrial Zone,23:00,Well-lit,0.77,0.75,0,1,0,0.2,0
Residential Area,19:59,Well-lit,0.3,0.2,1,0,0,0.47,1
Commercial District,23:43,Poorly-lit,0.03,0.44,1,1,1,0.7,1
Residential Area,23:51,Moderately-lit,0.49,0.28,0,0,0,0.56,0
Main Road,20:18,Well-lit,0.25,0.28,0,0,1,0.27,1
Suburban Street,18:13,Poorly-lit,0.09,0.4,1,0,1,0.46,0
Residential Area,23:48,Well-lit,0.11,0.22,1,1,0,0.45,1
Suburban Street,01:58,Moderately-lit,0.73,0.31,1,0,0,0.44,0
Industrial Zone,02:22,Moderately-lit,0.32,0.62,0,0,1,0.2,0
Industrial Zone,01:20,No lighting,0.05,0.6,0,0,0,0.23,0
Park,04:56,Well-lit,0.41,0.58,1,0,0,0.28,1
Industrial Zone,23:47,Poorly-lit,0.78,0.81,1,0,0,0.15,0
University Campus,21:45,Moderately-lit,0.36,0.28,1,0,0,0.53,0
Public Transport Hub,00:15,Well-lit,0.51,0.49,1,0,1,0.81,1
Alleyway,19:45,No lighting,0.33,0.7,0,1,1,0.25,0
Public Transport Hub,20:25,No lighting,0.0,0.52,1,1,1,0.82,1
Market Area,00:51,No lighting,0.12,0.35,1,0,0,0.83,0
Market Area,19:29,Well-lit,0.1,0.49,0,0,0,0.74,0
Market Area,19:49,No lighting,0.13,0.39,0,0,0,0.72,1
Suburban Street,23:15,No lighting,0.21,0.24,1,1,1,0.55,1
Residential Area,01:16,Moderately-lit,0.28,0.12,1,0,0,0.52,1
Park,05:52,Poorly-lit,0.43,0.58,0,0,0,0.15,1
Industrial Zone,00:29,No lighting,0.54,0.55,0,0,0,0.21,0
Market Area,03:32,Poorly-lit,0.12,0.33,0,0,1,0.71,0
Commercial District,03:21,No lighting,0.08,0.38,0,1,1,0.76,0
Public Transport Hub,20:11,Moderately-lit,0.49,0.54,1,0,1,0.73,1
Public Transport Hub,22:21,Moderately-lit,0.14,0.47,0,1,1,0.71,1
Suburban Street,21:52,Poorly-lit,0.58,0.37,1,0,0,0.55,1
Suburban Street,02:11,Moderately-lit,0.0,0.33,1,0,0,0.5,0
University Campus,18:57,No lighting,0.03,0.43,1,0,0,0.47,0
Alleyway,01:02,Moderately-lit,0.24,0.84,0,0,0,0.17,0
Commercial District,04:46,Poorly-lit,0.56,0.58,1,1,1,0.77,1
Market Area,22:47,Moderately-lit,0.12,0.54,0,1,0,0.72,0
University Campus,03:53,No lighting,0.14,0.2,0,0,1,0.48,1
Commercial District,21:52,Well-lit,0.27,0.54,1,1,1,0.8,1
Alleyway,02:09,Moderately-lit,0.12,0.89,0,0,0,0.24,0
Public Transport Hub,01:49,Moderately-lit,0.52,0.46,1,1,1,0.84,1
Alleyway,03:23,No lighting,0.02,0.76,0,0,0,0.25,0
Residential Area,01:33,Poorly-lit,0.46,0.15,1,0,0,0.43,0
Public Transport Hub,19:20,Moderately-lit,0.14,0.45,1,1,1,0.88,1
Industrial Zone,03:25,Moderately-lit,0.24,0.61,1,0,0,0.23,0
University Campus,04:58,Well-lit,0.01,0.24,1,0,0,0.44,1
Public Transport Hub,00:39,No lighting,0.44,0.44,1,0,1,0.84,0
Market Area,18:45,No lighting,0.54,0.42,0,0,0,0.8,0
University Campus,01:01,No lighting,0.02,0.2,1,0,1,0.57,0
Commercial District,01:19,Moderately-lit,0.07,0.37,0,1,1,0.82,1
Commercial District,04:44,No lighting,0.36,0.38,0,1,0,0.79,0
Commercial District,22:00,No lighting,0.04,0.5,0,1,0,0.76,0
Commercial District,21:39,No lighting,0.09,0.54,0,0,1,0.81,0
Industrial Zone,19:22,Moderately-lit,0.18,0.78,1,1,0,0.2,0
Public Transport Hub,02:46,No lighting,0.32,0.56,0,1,1,0.87,0
Alleyway,01:04,Poorly-lit,0.32,0.92,0,0,0,0.2,0
Alleyway,19:02,No lighting,0.0,0.67,1,0,0,0.18,0
Commercial District,21:48,Moderately-lit,0.33,0.63,1,0,1,0.72,1
Park,05:31,Poorly-lit,0.12,0.61,0,0,0,0.21,1
Commercial District,22:41,Poorly-lit,0.42,0.57,1,1,0,0.76,0
Alleyway,19:24,Moderately-lit,0.57,0.79,1,0,0,0.24,0
Park,05:15,Well-lit,0.44,0.6,0,0,1,0.11,0
Main Road,02:49,Moderately-lit,0.18,0.54,1,1,0,0.24,0
University Campus,19:24,No lighting,0.52,0.17,1,0,0,0.44,0
Industrial Zone,00:48,Moderately-lit,0.07,0.82,0,0,0,0.16,0
Main Road,18:21,Poorly-lit,0.16,0.36,1,1,1,0.26,1
Main Road,23:36,Well-lit,0.54,0.35,1,1,1,0.14,1
Alleyway,00:36,Poorly-lit,0.38,0.77,0,0,1,0.12,1
Residential Area,00:51,No lighting,0.17,0.28,1,1,0,0.59,0
Public Transport Hub,23:37,Moderately-lit,0.12,0.43,1,1,1,0.74,1
Main Road,03:44,Well-lit,0.48,0.51,1,0,1,0.12,1
Suburban Street,20:58,Moderately-lit,0.56,0.27,0,0,0,0.41,1
Market Area,18:52,Well-lit,0.41,0.27,1,0,1,0.87,1
Public Transport Hub,20:15,Poorly-lit,0.48,0.39,0,1,1,0.82,0
Main Road,04:07,Well-lit,0.11,0.55,0,1,0,0.25,1
Park,20:01,No lighting,0.15,0.59,0,0,0,0.14,0
Park,20:46,Moderately-lit,0.23,0.68,0,0,0,0.2,0
Market Area,04:31,Well-lit,0.06,0.53,0,0,1,0.9,1
Suburban Street,01:19,Moderately-lit,0.18,0.32,1,0,0,0.47,0
Alleyway,04:50,Moderately-lit,0.44,0.67,0,0,1,0.18,0
Alleyway,21:28,Moderately-lit,0.12,0.74,0,1,0,0.12,0
Suburban Street,22:57,Moderately-lit,0.36,0.38,0,0,0,0.58,0
Commercial District,01:41,No lighting,0.27,0.35,1,0,1,0.77,0
University Campus,18:37,Poorly-lit,0.25,0.39,0,1,0,0.51,0
Alleyway,19:00,Moderately-lit,0.22,0.69,0,0,0,0.2,0
Residential Area,00:49,Poorly-lit,0.01,0.13,0,1,1,0.44,0
Public Transport Hub,22:02,Poorly-lit,0.13,0.58,1,1,0,0.88,0
Main Road,02:13,No lighting,0.03,0.26,1,1,0,0.28,0
Market Area,21:30,No lighting,0.05,0.27,1,0,0,0.85,0
Public Transport Hub,23:23,No lighting,0.05,0.63,1,1,1,0.74,1
Industrial Zone,00:44,Poorly-lit,0.68,0.75,0,0,0,0.26,0
Suburban Street,20:55,No lighting,0.47,0.18,1,1,0,0.4,1
Market Area,18:47,Moderately-lit,0.15,0.51,1,0,0,0.89,0
Main Road,22:00,No lighting,0.05,0.31,1,1,1,0.23,1
Main Road,03:15,Well-lit,0.17,0.27,0,0,1,0.16,1
Commercial District,22:44,Well-lit,0.11,0.41,1,1,1,0.83,1
Market Area,00:39,No lighting,0.57,0.36,0,0,0,0.74,0
Public Transport Hub,20:46,Poorly-lit,0.24,0.52,1,1,1,0.89,1
Park,22:39,Moderately-lit,0.62,0.5,1,0,0,0.19,0
Park,18:26,Moderately-lit,0.18,0.71,1,0,1,0.15,0
Residential Area,18:26,Well-lit,0.26,0.34,0,1,1,0.53,1
University Campus,19:36,Poorly-lit,0.52,0.19,0,1,1,0.4,0
Suburban Street,03:11,Poorly-lit,0.54,0.32,1,0,1,0.41,0
University Campus,22:05,Well-lit,0.24,0.21,1,0,0,0.52,1
University Campus,19:00,Moderately-lit,0.05,0.25,1,0,0,0.57,0
Alleyway,19:57,Well-lit,0.03,0.78,0,1,1,0.11,1
Market Area,01:21,Poorly-lit,0.03,0.38,0,0,0,0.78,0
Commercial District,20:30,No lighting,0.21,0.5,1,0,1,0.78,0
Park,22:17,Well-lit,0.05,0.74,0,0,0,0.27,0
Main Road,20:07,No lighting,0.66,0.4,0,1,0,0.25,0
Suburban Street,00:42,No lighting,0.61,0.28,0,1,0,0.49,0
University Campus,20:23,No lighting,0.38,0.17,1,0,1,0.43,0
Park,00:36,Well-lit,0.06,0.75,0,0,0,0.15,0
Public Transport Hub,00:08,Moderately-lit,0.04,0.54,0,1,0,0.73,0
Residential Area,23:59,Moderately-lit,0.65,0.07,0,0,0,0.4,0
Park,00:06,No lighting,0.06,0.63,1,0,0,0.28,0
Park,04:06,Moderately-lit,0.09,0.6,0,0,0,0.22,0
Alleyway,19:50,Moderately-lit,0.23,0.83,0,0,0,0.16,0
Suburban Street,02:59,Moderately-lit,0.15,0.19,1,0,0,0.46,0
Commercial District,21:00,Moderately-lit,0.34,0.45,1,0,1,0.88,1
Suburban Street,19:23,Well-lit,0.34,0.42,1,0,0,0.57,1
Suburban Street,03:46,No lighting,0.72,0.35,0,1,0,0.48,0
University Campus,21:28,Poorly-lit,0.36,0.17,1,1,0,0.55,0
Alleyway,01:51,Poorly-lit,0.44,0.89,0,0,0,0.2,0
Alleyway,19:00,No lighting,0.88,0.91,0,1,0,0.25,0
Suburban Street,21:54,Poorly-lit,0.07,0.18,1,0,1,0.54,0
Park,21:01,Poorly-lit,0.08,0.59,0,0,0,0.23,0
Public Transport Hub,04:35,Poorly-lit,0.11,0.43,1,1,1,0.85,1
Suburban Street,01:40,Poorly-lit,0.5,0.18,0,0,0,0.42,0
Suburban Street,23:27,Poorly-lit,0.19,0.3,1,0,0,0.44,0
Industrial Zone,02:51,Well-lit,0.09,0.61,1,0,0,0.23,1
Commercial District,19:41,Moderately-lit,0.12,0.45,1,1,0,0.81,1
Commercial District,00:22,Well-lit,0.42,0.45,1,1,0,0.76,1
Main Road,20:50,Poorly-lit,0.1,0.46,0,0,1,0.19,0
Industrial Zone,05:12,No lighting,0.16,0.8,0,0,0,0.1,0
Public Transport Hub,05:10,Well-lit,0.05,0.55,1,1,1,0.72,1
Alleyway,23:11,No lighting,0.29,0.8,0,0,0,0.26,0
Main Road,03:48,No lighting,0.13,0.47,1,1,0,0.2,0
University Campus,02:30,Well-lit,0.04,0.24,1,1,0,0.59,1
University Campus,20:14,Well-lit,0.17,0.21,1,1,0,0.48,0
Residential Area,23:17,Well-lit,0.0,0.19,0,0,1,0.54,1
Main Road,02:24,No lighting,0.16,0.54,1,0,1,0.23,0
Alleyway,03:17,Poorly-lit,0.23,0.82,0,0,0,0.22,0
Suburban Street,20:17,No lighting,0.27,0.26,1,0,0,0.56,0
Main Road,01:17,No lighting,0.41,0.52,1,1,1,0.14,0
Industrial Zone,23:26,No lighting,0.1,0.76,0,1,0,0.11,0
Public Transport Hub,04:33,No lighting,0.06,0.35,1,1,0,0.86,1
Main Road,18:44,Moderately-lit,0.14,0.31,0,1,0,0.13,0
Suburban Street,18:29,Well-lit,0.05,0.36,1,0,0,0.52,1
Park,02:52,Well-lit,0.08,0.47,0,0,1,0.24,1
Market Area,18:13,Well-lit,0.38,0.38,0,0,0,0.85,1
Main Road,22:23,No lighting,0.51,0.43,1,0,1,0.29,0
Alleyway,00:39,Well-lit,0.22,0.74,1,0,0,0.28,1
Residential Area,21:23,Poorly-lit,0.1,0.35,1,0,1,0.6,0
Suburban Street,04:49,Well-lit,0.39,0.21,1,1,1,0.44,1
Public Transport Hub,02:38,Poorly-lit,0.25,0.47,0,1,0,0.86,0
Commercial District,21:42,Well-lit,0.24,0.46,0,0,0,0.8,1
Alleyway,20:28,No lighting,0.1,0.94,0,0,0,0.25,0
Market Area,03:49,Poorly-lit,0.38,0.45,0,1,0,0.88,0
Commercial District,18:27,Poorly-lit,0.34,0.43,1,1,1,0.87,1
Suburban Street,01:05,Poorly-lit,0.4,0.21,0,0,0,0.49,0
Alleyway,00:12,No lighting,0.34,0.75,0,0,0,0.17,0
Park,22:59,No lighting,0.07,0.6,0,0,0,0.12,0
Suburban Street,22:01,Moderately-lit,0.06,0.17,1,1,1,0.41,1
Market Area,22:34,Moderately-lit,0.5,0.31,1,0,0,0.82,1
University Campus,00:27,Poorly-lit,0.18,0.19,0,0,0,0.45,0
Public Transport Hub,02:20,Poorly-lit,0.23,0.4,0,1,1,0.77,0
Market Area,05:33,Well-lit,0.27,0.46,1,0,0,0.87,1
Industrial Zone,05:35,Poorly-lit,0.04,0.74,0,0,1,0.16,0
Market Area,22:17,Well-lit,0.18,0.35,1,0,0,0.74,1
Public Transport Hub,05:49,Moderately-lit,0.38,0.35,0,1,1,0.83,1
Market Area,23:41,Poorly-lit,0.1,0.27,1,0,1,0.84,1
Main Road,01:42,Well-lit,0.05,0.27,1,1,1,0.22,1
University Campus,20:59,No lighting,0.07,0.36,1,1,0,0.52,0
Suburban Street,01:28,No lighting,0.36,0.31,1,1,0,0.41,0
Industrial Zone,03:37,Moderately-lit,0.81,0.68,0,1,0,0.19,0
Residential Area,21:12,Poorly-lit,0.31,0.2,1,1,0,0.5,0
Park,05:17,Poorly-lit,0.48,0.53,0,1,1,0.17,0
Residential Area,23:44,Poorly-lit,0.16,0.2,1,0,0,0.46,0
Suburban Street,23:24,Well-lit,0.16,0.22,0,1,1,0.53,1
Residential Area,05:07,Well-lit,0.25,0.35,1,0,1,0.46,1
University Campus,23:54,Well-lit,0.12,0.4,0,0,0,0.53,0
Industrial Zone,21:59,Poorly-lit,0.78,0.62,1,1,0,0.14,0
Commercial District,02:49,Poorly-lit,0.46,0.41,1,1,1,0.74,1
Commercial District,01:21,No lighting,0.23,0.63,0,1,1,0.75,0
Public Transport Hub,20:53,Moderately-lit,0.39,0.6,0,1,1,0.75,0
Suburban Street,04:51,Well-lit,0.1,0.3,1,1,0,0.45,1
Industrial Zone,21:55,Well-lit,0.25,0.6,0,0,0,0.28,0
Commercial District,01:59,Poorly-lit,0.18,0.5,1,1,0,0.88,0
Industrial Zone,04:45,Well-lit,0.31,0.61,0,0,0,0.29,0
University Campus,00:59,Moderately-lit,0.88,0.33,1,0,0,0.55,0
Alleyway,04:59,Well-lit,0.45,0.88,0,0,0,0.28,0
Suburban Street,05:49,Moderately-lit,0.12,0.31,1,0,0,0.57,0
Residential Area,21:13,Poorly-lit,0.1,0.17,1,0,1,0.43,1
University Campus,03:22,Moderately-lit,0.07,0.35,1,1,0,0.5,1
Commercial District,18:17,Moderately-lit,0.15,0.51,1,0,1,0.89,1
Main Road,02:48,Poorly-lit,0.27,0.45,0,0,1,0.12,0
Park,05:51,Well-lit,0.51,0.56,0,0,0,0.29,0
Alleyway,22:54,Poorly-lit,0.7,0.72,0,1,1,0.27,0
Commercial District,03:13,Moderately-lit,0.22,0.38,1,1,1,0.85,1
Residential Area,18:39,No lighting,0.16,0.05,1,1,0,0.49,1
Commercial District,02:08,Poorly-lit,0.26,0.51,1,1,0,0.85,0
Commercial District,19:04,Poorly-lit,0.02,0.6,1,1,1,0.87,1
Market Area,20:50,No lighting,0.16,0.47,1,1,0,0.86,0
Industrial Zone,04:09,Well-lit,0.17,0.67,0,0,0,0.17,0
Main Road,22:20,No lighting,0.04,0.38,1,0,1,0.11,0
Market Area,02:38,Well-lit,0.39,0.38,1,1,0,0.8,1
University Campus,21:08,Well-lit,0.14,0.28,1,0,0,0.5,1
University Campus,23:26,Well-lit,0.21,0.28,1,0,0,0.44,1
University Campus,19:42,Moderately-lit,0.31,0.21,1,0,1,0.44,1
Market Area,02:31,Moderately-lit,0.3,0.27,1,0,0,0.89,1
Alleyway,18:52,Poorly-lit,0.29,0.88,1,1,1,0.29,0
Industrial Zone,01:18,No lighting,0.09,0.8,0,1,0,0.14,0
Industrial Zone,05:51,Moderately-lit,0.42,0.72,0,0,0,0.14,0
Market Area,18:58,No lighting,0.32,0.29,0,1,1,0.84,0
University Campus,01:24,Poorly-lit,0.13,0.38,0,0,0,0.49,0
Suburban Street,01:59,Moderately-lit,0.51,0.29,1,1,0,0.57,1
Suburban Street,21:49,Moderately-lit,0.41,0.42,0,0,1,0.46,0
Market Area,03:05,Well-lit,0.29,0.36,0,0,0,0.77,1
Public Transport Hub,03:12,Moderately-lit,0.1,0.55,0,1,0,0.83,0
Public Transport Hub,21:41,Well-lit,0.37,0.54,1,1,0,0.78,1
Industrial Zone,04:01,Poorly-lit,0.15,0.85,0,0,1,0.19,0
Commercial District,21:20,No lighting,0.29,0.51,1,0,0,0.84,0
Industrial Zone,22:03,Poorly-lit,0.63,0.63,1,0,0,0.25,0
Residential Area,03:54,No lighting,0.32,0.15,1,1,1,0.54,1
Alleyway,00:40,No lighting,0.2,0.79,0,1,0,0.1,1
Suburban Street,02:20,Moderately-lit,0.0,0.31,1,0,0,0.51,0
University Campus,05:59,No lighting,0.29,0.22,0,0,0,0.49,0
Main Road,05:52,Moderately-lit,0.79,0.55,0,0,1,0.17,0
Market Area,20:32,Poorly-lit,0.43,0.35,1,0,1,0.72,0
Main Road,23:55,Moderately-lit,0.22,0.55,0,1,1,0.17,0
Main Road,19:58,Poorly-lit,0.15,0.48,0,0,1,0.3,0
Park,01:29,Well-lit,0.45,0.63,0,0,0,0.14,0
Residential Area,04:49,No lighting,0.72,0.23,0,0,0,0.42,0
Commercial District,22:46,Moderately-lit,0.04,0.62,1,1,1,0.72,1
Public Transport Hub,01:34,No lighting,0.07,0.61,0,0,1,0.81,0
Market Area,20:30,Well-lit,0.36,0.53,0,0,1,0.83,1
Public Transport Hub,00:48,Well-lit,0.17,0.38,0,1,1,0.72,1
Main Road,05:34,Moderately-lit,0.28,0.43,0,1,0,0.13,0
University Campus,01:05,Moderately-lit,0.18,0.27,1,0,0,0.4,0
Market Area,22:24,Poorly-lit,0.11,0.47,0,0,0,0.88,0
Park,22:48,No lighting,0.01,0.47,1,0,0,0.17,0
Market Area,20:41,Moderately-lit,0.23,0.32,1,0,1,0.74,1
Park,18:29,Moderately-lit,0.41,0.65,0,0,0,0.26,0
Park,01:28,No lighting,0.02,0.56,0,0,0,0.2,0
Market Area,18:35,Well-lit,0.38,0.38,0,1,1,0.8,1
Public Transport Hub,18:52,Well-lit,0.06,0.53,1,1,1,0.8,1
Industrial Zone,22:54,Moderately-lit,0.59,0.64,0,1,0,0.24,0
Alleyway,22:16,Moderately-lit,0.43,0.67,1,0,1,0.28,0
Suburban Street,20:52,Well-lit,0.22,0.3,0,0,1,0.53,1
Market Area,02:18,Well-lit,0.34,0.36,0,0,0,0.7,1
University Campus,21:42,Poorly-lit,0.06,0.37,1,0,0,0.57,1
Public Transport Hub,00:42,Moderately-lit,0.42,0.4,0,1,0,0.76,0
Market Area,02:26,Well-lit,0.23,0.47,0,0,1,0.72,1
Public Transport Hub,18:35,Poorly-lit,0.37,0.53,1,1,0,0.75,0
Alleyway,20:51,Poorly-lit,0.1,0.89,0,1,0,0.13,0
Commercial District,19:05,Well-lit,0.3,0.45,0,1,1,0.84,1
Main Road,03:56,Poorly-lit,0.42,0.29,0,1,1,0.11,0
Market Area,22:17,No lighting,0.78,0.51,1,0,1,0.81,0
Main Road,21:17,Well-lit,0.49,0.4,1,0,0,0.13,1
Industrial Zone,03:06,No lighting,0.4,0.63,0,0,1,0.18,0
Public Transport Hub,19:40,Moderately-lit,0.27,0.48,0,1,0,0.86,0
Main Road,00:54,Well-lit,0.38,0.44,1,1,1,0.11,1
Residential Area,04:20,Well-lit,0.27,0.28,0,0,0,0.49,1
Market Area,21:43,No lighting,0.13,0.3,0,1,0,0.73,0
Alleyway,18:34,No lighting,0.07,0.67,0,0,1,0.24,0
Suburban Street,18:40,No lighting,0.49,0.45,1,1,0,0.41,0
Market Area,18:30,Moderately-lit,0.11,0.54,0,0,0,0.76,0
Commercial District,00:44,No lighting,0.12,0.55,1,1,1,0.76,1
Main Road,05:08,Poorly-lit,0.01,0.26,0,1,1,0.25,0
Main Road,04:05,Poorly-lit,0.03,0.48,1,0,1,0.17,0
Industrial Zone,19:42,Poorly-lit,0.18,0.83,0,0,0,0.28,0
University Campus,00:42,Well-lit,0.15,0.32,0,0,0,0.46,1
Commercial District,18:26,No lighting,0.15,0.36,1,1,0,0.83,1
Commercial District,21:17,Poorly-lit,0.22,0.54,0,1,1,0.75,0
Residential Area,21:56,Moderately-lit,0.18,0.07,1,0,1,0.42,1
Alleyway,19:30,No lighting,0.13,0.75,1,0,1,0.24,0
Park,22:50,Moderately-lit,0.44,0.47,0,1,0,0.19,0
Residential Area,04:19,Well-lit,0.14,0.14,1,1,0,0.4,1
Public Transport Hub,21:50,Moderately-lit,0.12,0.53,0,1,0,0.79,0
University Campus,20:02,Poorly-lit,0.04,0.44,0,0,1,0.49,0
Suburban Street,20:43,Moderately-lit,0.23,0.38,0,1,0,0.56,0
Commercial District,22:21,Poorly-lit,0.5,0.56,0,0,1,0.82,0
Residential Area,04:43,Well-lit,0.08,0.15,1,0,0,0.44,1
Park,04:22,Poorly-lit,0.05,0.45,0,0,1,0.24,0
Park,01:42,Well-lit,0.26,0.53,1,1,0,0.28,1
Park,03:30,Poorly-lit,0.23,0.73,0,0,1,0.2,0
Market Area,01:53,Poorly-lit,0.38,0.43,1,0,1,0.72,0
University Campus,23:04,No lighting,0.32,0.34,0,0,0,0.6,0
Public Transport Hub,03:38,Well-lit,0.21,0.41,1,0,1,0.83,1
Suburban Street,01:02,No lighting,0.17,0.2,1,0,0,0.58,0
Park,22:02,Well-lit,0.16,0.71,1,0,1,0.2,1
Commercial District,20:15,Well-lit,0.14,0.53,0,0,0,0.75,1
Market Area,18:30,No lighting,0.09,0.28,0,0,1,0.9,0
Suburban Street,00:57,Poorly-lit,0.29,0.42,1,1,0,0.41,0
Public Transport Hub,01:05,No lighting,0.43,0.53,1,1,1,0.79,1
University Campus,05:17,Well-lit,0.3,0.42,1,0,0,0.58,1
Suburban Street,00:32,Well-lit,0.16,0.18,0,0,0,0.42,1
Suburban Street,19:25,Poorly-lit,0.13,0.17,1,0,1,0.5,0
Residential Area,23:52,No lighting,0.45,0.14,1,0,0,0.6,0
Suburban Street,23:17,Poorly-lit,0.04,0.18,1,1,0,0.48,0
Alleyway,22:24,Poorly-lit,0.04,0.84,1,1,0,0.2,0
Suburban Street,00:58,Poorly-lit,0.26,0.33,1,0,0,0.51,0
Park,05:05,Moderately-lit,0.49,0.68,1,0,1,0.16,1
Park,23:21,Well-lit,0.06,0.53,1,0,0,0.14,1
Market Area,20:26,Moderately-lit,0.13,0.38,1,1,1,0.77,1
Public Transport Hub,03:18,Moderately-lit,0.21,0.57,1,1,0,0.8,1
Market Area,20:49,Moderately-lit,0.25,0.36,1,0,0,0.89,0
Commercial District,22:55,Moderately-lit,0.49,0.45,0,1,1,0.79,1
Alleyway,19:19,Poorly-lit,0.14,0.74,0,0,0,0.16,0
Park,22:29,Poorly-lit,0.58,0.49,1,0,0,0.23,0
University Campus,21:07,Well-lit,0.12,0.43,0,0,0,0.59,0
Public Transport Hub,19:24,No lighting,0.03,0.55,0,1,1,0.74,0
Alleyway,19:49,No lighting,0.16,0.73,0,0,0,0.18,1
Park,18:53,Moderately-lit,0.22,0.6,0,0,0,0.14,0
Suburban Street,22:49,Well-lit,0.27,0.2,1,0,0,0.6,1
University Campus,05:50,Well-lit,0.03,0.42,0,0,0,0.46,0
Industrial Zone,22:55,Poorly-lit,0.29,0.68,1,0,0,0.22,0
University Campus,05:28,Moderately-lit,0.04,0.21,1,0,1,0.55,1
Commercial District,00:08,Moderately-lit,0.39,0.4,0,1,1,0.72,1
Main Road,22:20,Well-lit,0.24,0.34,0,0,0,0.25,0
Suburban Street,02:06,Well-lit,0.24,0.35,1,1,0,0.58,1
Commercial District,22:39,Moderately-lit,0.11,0.38,0,0,1,0.76,0
Market Area,04:09,No lighting,0.2,0.39,1,0,0,0.72,0
Market Area,23:51,Moderately-lit,0.21,0.45,1,0,0,0.83,0
Alleyway,20:44,No lighting,0.19,0.79,1,0,1,0.16,0
Commercial District,04:56,No lighting,0.39,0.64,1,1,1,0.81,1
Alleyway,23:58,Well-lit,0.57,0.67,1,1,0,0.26,1
Residential Area,02:23,Moderately-lit,0.04,0.17,1,0,1,0.59,1
Commercial District,18:52,Poorly-lit,0.04,0.47,0,0,0,0.88,0
Alleyway,03:45,Moderately-lit,0.01,0.85,0,0,0,0.24,0
Suburban Street,20:39,No lighting,0.15,0.38,1,0,0,0.46,0
Main Road,20:57,No lighting,0.2,0.53,0,1,1,0.19,0
Alleyway,03:00,Moderately-lit,0.44,0.66,1,1,1,0.28,0
Park,00:46,Poorly-lit,0.32,0.64,0,1,0,0.2,0
Residential Area,19:45,Poorly-lit,0.41,0.2,1,0,1,0.42,0
Suburban Street,02:37,No lighting,0.09,0.21,1,0,0,0.4,0
Park,03:22,Well-lit,0.24,0.61,1,1,0,0.28,1
University Campus,22:08,Well-lit,0.46,0.19,1,1,0,0.43,1
Industrial Zone,21:52,Poorly-lit,0.21,0.6,1,1,0,0.26,0
Alleyway,21:42,Well-lit,0.48,0.77,0,0,0,0.26,0
Market Area,05:53,Well-lit,0.11,0.33,0,0,0,0.76,1
Park,03:58,Moderately-lit,0.36,0.69,1,0,1,0.28,0
Alleyway,01:09,Well-lit,0.26,0.65,1,0,1,0.2,1
Suburban Street,00:54,No lighting,0.03,0.18,1,0,0,0.56,0
Main Road,20:18,Moderately-lit,0.24,0.37,1,1,1,0.25,1
Industrial Zone,20:48,Moderately-lit,0.24,0.76,0,1,0,0.13,0
Commercial District,21:51,Moderately-lit,0.01,0.53,0,1,0,0.84,0
Residential Area,21:04,Moderately-lit,0.2,0.18,0,0,1,0.53,0
University Campus,03:41,No lighting,0.09,0.17,1,0,0,0.57,0
University Campus,01:26,Well-lit,0.21,0.27,0,1,0,0.41,1
Alleyway,05:25,Poorly-lit,0.3,0.67,1,0,0,0.16,0
Public Transport Hub,19:15,Poorly-lit,0.61,0.39,0,0,1,0.79,0
Residential Area,23:31,Poorly-lit,0.09,0.05,1,0,1,0.58,1
Public Transport Hub,20:21,Poorly-lit,0.44,0.43,1,0,1,0.72,0
University Campus,03:21,Well-lit,0.35,0.21,1,0,0,0.56,1
Market Area,01:25,Moderately-lit,0.23,0.4,0,1,0,0.88,0
Industrial Zone,21:45,Poorly-lit,0.5,0.79,0,0,1,0.18,0
Public Transport Hub,04:43,No lighting,0.54,0.38,1,1,1,0.76,1
Alleyway,22:40,Poorly-lit,0.24,0.85,0,0,1,0.26,0
Alleyway,04:41,Well-lit,0.7,0.81,1,0,0,0.13,1
University Campus,20:09,Moderately-lit,0.03,0.19,1,0,0,0.44,0
Alleyway,18:15,No lighting,0.13,0.85,0,0,1,0.1,0
Public Transport Hub,22:20,Moderately-lit,0.23,0.52,1,1,1,0.75,1
University Campus,18:16,No lighting,0.02,0.18,1,0,0,0.5,0
Main Road,05:28,Well-lit,0.07,0.51,1,1,0,0.22,1
Alleyway,01:56,Well-lit,0.1,0.71,1,0,0,0.26,1
Industrial Zone,19:07,Well-lit,0.0,0.55,0,0,0,0.17,0
Suburban Street,22:04,Poorly-lit,0.14,0.26,1,0,0,0.44,0
Park,23:04,No lighting,0.32,0.72,1,0,0,0.14,1
Industrial Zone,05:24,Well-lit,0.1,0.58,1,0,1,0.22,1
Industrial Zone,01:57,No lighting,0.36,0.65,0,0,1,0.19,0
Residential Area,21:56,Well-lit,0.27,0.3,1,0,1,0.48,1
Public Transport Hub,22:25,Moderately-lit,0.36,0.4,0,1,1,0.71,1
Residential Area,03:24,No lighting,0.04,0.16,1,1,1,0.54,1
Alleyway,05:04,Poorly-lit,0.02,0.84,0,1,0,0.21,0
Market Area,18:18,Moderately-lit,0.24,0.28,1,0,0,0.74,1
Main Road,18:31,Poorly-lit,0.01,0.33,0,1,1,0.23,0
Residential Area,18:59,Moderately-lit,0.31,0.22,1,0,1,0.4,1
Park,03:22,Moderately-lit,0.16,0.5,0,1,1,0.29,0
